Front	Back	Tags
WLC discovery methods	DHCP option 43, DNS (CISCO-CAPWAP-CONTROLLER), broadcast on local subnet, or static WLC IP. <br><br><span style="color:#888">2.6.b.5 · weight: med</span>	ccna domain2 topic2.6 subtopic2.6.b weight_med
Lightweight access port	Switch port to lightweight AP is usually an access port — all traffic tunneled via CAPWAP to WLC. <br><br><span style="color:#888">2.6.b.6 · weight: med</span>	ccna domain2 topic2.6 subtopic2.6.b weight_med
Split-MAC architecture	802.11 MAC functions split between AP (real-time RF) and WLC (management/policy). <br><br><span style="color:#888">2.6.c.1 · weight: high</span>	ccna domain2 topic2.6 subtopic2.6.c weight_high
AP functions	RF TX/RX, encryption/decryption, beacons, probes, ACKs, frame queuing. Latency-sensitive. <br><br><span style="color:#888">2.6.c.2 · weight: high</span>	ccna domain2 topic2.6 subtopic2.6.c weight_high
WLC functions	Authentication, security policy, SSID/WLAN config, RF management (RRM), roaming, QoS, firmware. <br><br><span style="color:#888">2.6.c.3 · weight: high</span>	ccna domain2 topic2.6 subtopic2.6.c weight_high
Why split-MAC	Centralized management at scale. Change policy once on WLC → propagates instantly to all APs. <br><br><span style="color:#888">2.6.c.4 · weight: med</span>	ccna domain2 topic2.6 subtopic2.6.c weight_med
FlexConnect	Lightweight AP mode for branches. Can survive WAN failure to WLC. Supports local switching. <br><br><span style="color:#888">2.6.d.1 · weight: high</span>	ccna domain2 topic2.6 subtopic2.6.d weight_high
Connected mode	WAN up. Normal operation. Data can be central- or locally-switched (per WLAN config). <br><br><span style="color:#888">2.6.d.2 · weight: med</span>	ccna domain2 topic2.6 subtopic2.6.d weight_med
Standalone mode	WAN down. Uses cached config and credentials. New users who never connected before CAN'T authenticate. <br><br><span style="color:#888">2.6.d.3 · weight: high</span>	ccna domain2 topic2.6 subtopic2.6.d weight_high
Local switching	AP switches traffic locally at branch, bypassing WLC tunnel. Saves WAN bandwidth. <br><br><span style="color:#888">2.6.d.4 · weight: high</span>	ccna domain2 topic2.6 subtopic2.6.d weight_high
FlexConnect use case	Multiple branch offices sharing one central WLC. Avoids deploying local WLC per branch. <br><br><span style="color:#888">2.6.d.5 · weight: med</span>	ccna domain2 topic2.6 subtopic2.6.d weight_med
Cisco Meraki	Cloud-managed wireless/networking. Dashboard in the Meraki cloud. No on-prem WLC required. <br><br><span style="color:#888">2.6.e.1 · weight: high</span>	ccna domain2 topic2.6 subtopic2.6.e weight_high
Cloud mgmt via HTTPS	APs connect to Meraki cloud over HTTPS for config and monitoring. Data traffic stays local. <br><br><span style="color:#888">2.6.e.2 · weight: med</span>	ccna domain2 topic2.6 subtopic2.6.e weight_med
Zero-touch provisioning	Plug in AP → gets internet → auto-downloads config from cloud. No manual setup per device. <br><br><span style="color:#888">2.6.e.3 · weight: high</span>	ccna domain2 topic2.6 subtopic2.6.e weight_high
Subscription licensing	Meraki requires active per-device license. Expired license = loss of management access. <br><br><span style="color:#888">2.6.e.4 · weight: med</span>	ccna domain2 topic2.6 subtopic2.6.e weight_med
Cloud outage resilience	If cloud is unreachable, APs keep forwarding traffic using cached config. Cannot make changes until cloud returns. <br><br><span style="color:#888">2.6.e.5 · weight: med</span>	ccna domain2 topic2.6 subtopic2.6.e weight_med
Cisco DNA Center / Catalyst Center	On-prem network-wide management platform. Core of Intent-Based Networking. <br><br><span style="color:#888">2.6.f.1 · weight: high</span>	ccna domain2 topic2.6 subtopic2.6.f weight_high
Intent-Based Networking (IBN)	Declare desired business outcome. Platform translates intent into device configs automatically. <br><br><span style="color:#888">2.6.f.2 · weight: high</span>	ccna domain2 topic2.6 subtopic2.6.f weight_high
DPPA four pillars	Design, Policy, Provision, Assurance. Memorize the acronym. <br><br><span style="color:#888">2.6.f.3 · weight: high</span>	ccna domain2 topic2.6 subtopic2.6.f weight_high
SD-Access (SDA)	DNA Center's campus fabric. VXLAN data plane + LISP control plane. Automated segmentation. <br><br><span style="color:#888">2.6.f.4 · weight: high</span>	ccna domain2 topic2.6 subtopic2.6.f weight_high
DNA Center vs WLC scope	DNA Center = entire network (wired + wireless). WLC = wireless only. <br><br><span style="color:#888">2.6.f.5 · weight: high</span>	ccna domain2 topic2.6 subtopic2.6.f weight_high
Autonomous AP → trunk port	Autonomous APs handle multiple VLANs locally, so switch port must be a trunk carrying all the VLANs. <br><br><span style="color:#888">2.7.a.1 · weight: high</span>	ccna domain2 topic2.7 subtopic2.7.a weight_high
Lightweight AP → access port	Client traffic tunneled via CAPWAP to WLC. Switch only sees management VLAN. Access port works. <br><br><span style="color:#888">2.7.a.2 · weight: high</span>	ccna domain2 topic2.7 subtopic2.7.a weight_high
FlexConnect exception	If lightweight AP is FlexConnect with local switching, it may need a trunk for local VLANs. <br><br><span style="color:#888">2.7.a.3 · weight: med</span>	ccna domain2 topic2.7 subtopic2.7.a weight_med
PoE for APs	APs typically powered via PoE over the same Ethernet cable. Switch must support appropriate PoE standard (af/at/bt). <br><br><span style="color:#888">2.7.a.4 · weight: high</span>	ccna domain2 topic2.7 subtopic2.7.a weight_high
AP management VLAN	Lightweight AP switch port must reach WLC management interface (same VLAN or L3-reachable). <br><br><span style="color:#888">2.7.a.5 · weight: med</span>	ccna domain2 topic2.7 subtopic2.7.a weight_med
WLC → trunk port	WLC connects to switch via trunk. Must carry management VLAN + all dynamic interface VLANs mapped to WLANs. <br><br><span style="color:#888">2.7.b.1 · weight: high</span>	ccna domain2 topic2.7 subtopic2.7.b weight_high
WLC management interface	Primary in-band interface. AP CAPWAP traffic, admin access, RADIUS. Critical interface. <br><br><span style="color:#888">2.7.b.2 · weight: high</span>	ccna domain2 topic2.7 subtopic2.7.b weight_high
WLC dynamic interface VLANs	Each dynamic interface maps a WLAN to a VLAN. Trunk to WLC must allow all these VLANs. <br><br><span style="color:#888">2.7.b.3 · weight: high</span>	ccna domain2 topic2.7 subtopic2.7.b weight_high
WLC troubleshoot	Clients getting wrong IPs or no access often = trunk allowed-vlan misconfiguration on the switch. <br><br><span style="color:#888">2.7.b.4 · weight: med</span>	ccna domain2 topic2.7 subtopic2.7.b weight_med
LAG (Link Aggregation)	WLC equivalent of EtherChannel. Bundles multiple WLC ports into one logical interface for bandwidth + redundancy. <br><br><span style="color:#888">2.7.c.1 · weight: med</span>	ccna domain2 topic2.7 subtopic2.7.c weight_med
LAG on both sides	Enable LAG on WLC AND configure matching EtherChannel on the switch side. Same port-channel concept. <br><br><span style="color:#888">2.7.c.2 · weight: med</span>	ccna domain2 topic2.7 subtopic2.7.c weight_med
WLC redundancy	LAG provides physical link redundancy. WLC HA pairs provide platform redundancy. Both complementary. <br><br><span style="color:#888">2.7.c.3 · weight: low</span>	ccna domain2 topic2.7 subtopic2.7.c weight_low
AP PoE requirements	Basic APs: 802.3af (15.4W). Modern Wi-Fi 6 APs: 802.3at (30W). High-end with multiple radios: 802.3bt (60-90W). <br><br><span style="color:#888">2.7.d.1 · weight: high</span>	ccna domain2 topic2.7 subtopic2.7.d weight_high
show power inline	Verify PoE status per port: allocated watts, consumed, device class. Use when deploying APs. <br><br><span style="color:#888">2.7.d.2 · weight: high</span>	ccna domain2 topic2.7 subtopic2.7.d weight_high
PoE budget planning	Sum AP power draws. Confirm switch budget supports it. Use higher-priority ports for critical APs. <br><br><span style="color:#888">2.7.d.3 · weight: med</span>	ccna domain2 topic2.7 subtopic2.7.d weight_med
Console access	Out-of-band. Physical serial connection (RJ-45 or USB). Works without network/IP. <br><br><span style="color:#888">2.8.a.1 · weight: high</span>	ccna domain2 topic2.8 subtopic2.8.a weight_high
Console default settings	9600 baud, 8 data bits, No parity, 1 stop bit (8-N-1). No flow control. <br><br><span style="color:#888">2.8.a.2 · weight: high</span>	ccna domain2 topic2.8 subtopic2.8.a weight_high
VTY lines	Virtual TeletYpe. Remote CLI access lines (usually 0-4 or 0-15). Used by Telnet/SSH. <br><br><span style="color:#888">2.8.a.3 · weight: high</span>	ccna domain2 topic2.8 subtopic2.8.a weight_high
Out-of-band vs in-band	Out-of-band = separate network/channel (console, management VLAN). In-band = uses production network. <br><br><span style="color:#888">2.8.a.4 · weight: high</span>	ccna domain2 topic2.8 subtopic2.8.a weight_high
Telnet	TCP 23. Remote CLI access. ENTIRELY plaintext — all data including credentials visible on wire. Never use in production. <br><br><span style="color:#888">2.8.b.1 · weight: high</span>	ccna domain2 topic2.8 subtopic2.8.b weight_high
SSH	TCP 22. Secure remote CLI. Encrypted. Standard for production device management. <br><br><span style="color:#888">2.8.b.2 · weight: high</span>	ccna domain2 topic2.8 subtopic2.8.b weight_high
transport input ssh	VTY config to restrict to SSH only. 'transport input all' or 'transport input telnet ssh' is insecure. <br><br><span style="color:#888">2.8.b.3 · weight: high</span>	ccna domain2 topic2.8 subtopic2.8.b weight_high
SSH version 2	Command: 'ip ssh version 2'. SSHv1 is insecure. Always enforce v2. <br><br><span style="color:#888">2.8.b.4 · weight: high</span>	ccna domain2 topic2.8 subtopic2.8.b weight_high
SSH prereqs (HDKUV)	Hostname, Domain name, RSA Key, User (local), VTY config. All five required or SSH won't work. <br><br><span style="color:#888">2.8.c.1 · weight: high</span>	ccna domain2 topic2.8 subtopic2.8.c weight_high
crypto key generate rsa	Generate RSA key pair for SSH. Choose 2048 bits minimum. Requires hostname and domain name first. <br><br><span style="color:#888">2.8.c.2 · weight: high</span>	ccna domain2 topic2.8 subtopic2.8.c weight_high
ip domain-name	Global command. Required before RSA key generation (key name includes host.domain). <br><br><span style="color:#888">2.8.c.3 · weight: high</span>	ccna domain2 topic2.8 subtopic2.8.c weight_high
username ... secret	Local user for SSH login. Use 'secret' (MD5/SHA hashed) not 'password' (weak/plaintext). <br><br><span style="color:#888">2.8.c.4 · weight: high</span>	ccna domain2 topic2.8 subtopic2.8.c weight_high
VTY for SSH	line vty 0 15 → transport input ssh → login local. Restricts to SSH and uses local credentials. <br><br><span style="color:#888">2.8.c.5 · weight: high</span>	ccna domain2 topic2.8 subtopic2.8.c weight_high
ip ssh version 2	Enforce SSH v2 only. Reject insecure v1. <br><br><span style="color:#888">2.8.c.6 · weight: high</span>	ccna domain2 topic2.8 subtopic2.8.c weight_high
HTTP / HTTPS management	HTTP=TCP 80, HTTPS=TCP 443. Web GUI access to devices. Best practice: disable HTTP, enable only HTTPS. <br><br><span style="color:#888">2.8.d.1 · weight: high</span>	ccna domain2 topic2.8 subtopic2.8.d weight_high
ip http server	Global command. Enable HTTP web GUI. Insecure — avoid. <br><br><span style="color:#888">2.8.d.2 · weight: med</span>	ccna domain2 topic2.8 subtopic2.8.d weight_med
ip http secure-server	Global command. Enable HTTPS web GUI. Uses TLS and device certificate. <br><br><span style="color:#888">2.8.d.3 · weight: high</span>	ccna domain2 topic2.8 subtopic2.8.d weight_high
WLC GUI = HTTPS	WLCs are primarily managed through HTTPS web GUI. Browser-based config. <br><br><span style="color:#888">2.8.d.4 · weight: high</span>	ccna domain2 topic2.8 subtopic2.8.d weight_high
TACACS+	Terminal Access Controller Access-Control System Plus. Cisco-developed AAA. TCP port 49. <br><br><span style="color:#888">2.8.e.1 · weight: high</span>	ccna domain2 topic2.8 subtopic2.8.e weight_high
TACACS+ full encryption	Encrypts ENTIRE packet body (not just password). Unique vs RADIUS. <br><br><span style="color:#888">2.8.e.2 · weight: high</span>	ccna domain2 topic2.8 subtopic2.8.e weight_high
TACACS+ separates AAA	Authentication, Authorization, Accounting are three INDEPENDENT exchanges. Enables granular control. <br><br><span style="color:#888">2.8.e.3 · weight: high</span>	ccna domain2 topic2.8 subtopic2.8.e weight_high
Per-command authorization	TACACS+ can authorize/deny INDIVIDUAL IOS commands per user. Critical for network device mgmt. <br><br><span style="color:#888">2.8.e.4 · weight: high</span>	ccna domain2 topic2.8 subtopic2.8.e weight_high
TACACS+ best use case	Network device administration. Controlling which admins can run which commands. <br><br><span style="color:#888">2.8.e.5 · weight: high</span>	ccna domain2 topic2.8 subtopic2.8.e weight_high
RADIUS	Remote Authentication Dial-In User Service. Open standard AAA. UDP 1812 auth / 1813 accounting. <br><br><span style="color:#888">2.8.f.1 · weight: high</span>	ccna domain2 topic2.8 subtopic2.8.f weight_high
RADIUS password-only encryption	Only the password field is encrypted. Rest of packet is plaintext. Weaker than TACACS+. <br><br><span style="color:#888">2.8.f.2 · weight: high</span>	ccna domain2 topic2.8 subtopic2.8.f weight_high
RADIUS combines auth+authz	Access-Accept returns both authentication success AND authorization attributes in one exchange. <br><br><span style="color:#888">2.8.f.3 · weight: high</span>	ccna domain2 topic2.8 subtopic2.8.f weight_high
RADIUS best use case	Network ACCESS control — 802.1X wired/wireless, WPA2-Enterprise Wi-Fi, VPN. Multi-vendor. <br><br><span style="color:#888">2.8.f.4 · weight: high</span>	ccna domain2 topic2.8 subtopic2.8.f weight_high
TACACS+ vs RADIUS scenario	Device admin access → TACACS+. User network access → RADIUS. Both can run on Cisco ISE. <br><br><span style="color:#888">2.8.f.5 · weight: high</span>	ccna domain2 topic2.8 subtopic2.8.f weight_high
Cloud-managed networking	Device mgmt via cloud dashboard (HTTPS). No on-prem controller required. Meraki is the canonical example. <br><br><span style="color:#888">2.8.g.1 · weight: high</span>	ccna domain2 topic2.8 subtopic2.8.g weight_high
Zero-touch provisioning	Device plugs in → internet → downloads config from cloud automatically. Key cloud benefit. <br><br><span style="color:#888">2.8.g.2 · weight: high</span>	ccna domain2 topic2.8 subtopic2.8.g weight_high
Cloud mgmt requirements	Internet connectivity to cloud + active subscription license. Both mandatory. <br><br><span style="color:#888">2.8.g.3 · weight: med</span>	ccna domain2 topic2.8 subtopic2.8.g weight_med
Cloud offline behavior	If cloud unreachable, devices continue forwarding with cached config. Cannot configure until restored. <br><br><span style="color:#888">2.8.g.4 · weight: med</span>	ccna domain2 topic2.8 subtopic2.8.g weight_med
Management models comparison	CLI (traditional) vs On-prem controller (WLC/DNA Center) vs Cloud-managed (Meraki). Each has tradeoffs. <br><br><span style="color:#888">2.8.g.5 · weight: med</span>	ccna domain2 topic2.8 subtopic2.8.g weight_med
WLAN Profile Name	Internal WLC label for admins (e.g., 'Corporate-WiFi'). Not visible to wireless clients. <br><br><span style="color:#888">2.9.a.1 · weight: high</span>	ccna domain2 topic2.9 subtopic2.9.a weight_high
WLAN SSID	Broadcast network name seen by clients. Visible in beacons (e.g., 'CorpNet'). Can differ from Profile Name. <br><br><span style="color:#888">2.9.a.2 · weight: high</span>	ccna domain2 topic2.9 subtopic2.9.a weight_high
WLAN ID (1-512)	Numeric identifier for the WLAN on the WLC. Range 1-512 (model-dependent). <br><br><span style="color:#888">2.9.a.3 · weight: med</span>	ccna domain2 topic2.9 subtopic2.9.a weight_med
WLAN Status: Enabled	WLAN is disabled by default after creation. Must be explicitly enabled before APs broadcast. <br><br><span style="color:#888">2.9.a.4 · weight: high</span>	ccna domain2 topic2.9 subtopic2.9.a weight_high
Multiple WLANs per WLC	A single WLC supports many WLANs (16 default, up to 512). Each with its own security and VLAN mapping. <br><br><span style="color:#888">2.9.a.5 · weight: med</span>	ccna domain2 topic2.9 subtopic2.9.a weight_med
WPA2 + AES-CCMP	Current production standard. Layer 2 Security = WPA+WPA2 + AES cipher. Do NOT enable TKIP. <br><br><span style="color:#888">2.9.b.1 · weight: high</span>	ccna domain2 topic2.9 subtopic2.9.b weight_high
WPA2-Personal (PSK)	Pre-shared key. Auth Key Mgmt = PSK. Everyone shares one password. Home/small office. <br><br><span style="color:#888">2.9.b.2 · weight: high</span>	ccna domain2 topic2.9 subtopic2.9.b weight_high
WPA2-Enterprise (802.1X)	Per-user credentials via RADIUS. Auth Key Mgmt = 802.1X. Corporate standard. <br><br><span style="color:#888">2.9.b.3 · weight: high</span>	ccna domain2 topic2.9 subtopic2.9.b weight_high
RADIUS server on WLC	Configured at Security → AAA → RADIUS → Authentication. WLC acts as NAS forwarding to RADIUS. <br><br><span style="color:#888">2.9.b.4 · weight: high</span>	ccna domain2 topic2.9 subtopic2.9.b weight_high
PSK vs 802.1X decision	Small office, no RADIUS = PSK. Enterprise, per-user auth, audit trail = 802.1X. <br><br><span style="color:#888">2.9.b.5 · weight: high</span>	ccna domain2 topic2.9 subtopic2.9.b weight_high
Dynamic interface	WLC virtual interface tied to a VLAN. Has IP/mask/gateway on that VLAN. Like an SVI on a L3 switch. <br><br><span style="color:#888">2.9.c.1 · weight: high</span>	ccna domain2 topic2.9 subtopic2.9.c weight_high
WLAN → Interface → VLAN	Mapping chain: WLAN's General tab selects interface → interface is tied to VLAN → client traffic flows on that VLAN. <br><br><span style="color:#888">2.9.c.2 · weight: high</span>	ccna domain2 topic2.9 subtopic2.9.c weight_high
Switch trunk requirement	Trunk to the WLC must allow ALL dynamic interface VLANs (plus management). <br><br><span style="color:#888">2.9.c.3 · weight: high</span>	ccna domain2 topic2.9 subtopic2.9.c weight_high
Wireless segmentation	Different SSIDs → different VLANs → different policies (ACLs, DHCP scope, QoS). <br><br><span style="color:#888">2.9.c.4 · weight: high</span>	ccna domain2 topic2.9 subtopic2.9.c weight_high
Platinum — Voice	Highest priority. Use for VoIP WLANs. Maps to AC_VO, DSCP EF (46). <br><br><span style="color:#888">2.9.d.1 · weight: high</span>	ccna domain2 topic2.9 subtopic2.9.d weight_high
Gold — Video	High priority. Video conferencing/streaming. Maps to AC_VI, DSCP AF41. <br><br><span style="color:#888">2.9.d.2 · weight: high</span>	ccna domain2 topic2.9 subtopic2.9.d weight_high
Silver — Best Effort	DEFAULT for data WLANs. Maps to AC_BE, DSCP 0. <br><br><span style="color:#888">2.9.d.3 · weight: high</span>	ccna domain2 topic2.9 subtopic2.9.d weight_high
Bronze — Background	Lowest priority. Guest WLANs, bulk/backup transfers. Maps to AC_BK, DSCP AF11. <br><br><span style="color:#888">2.9.d.4 · weight: high</span>	ccna domain2 topic2.9 subtopic2.9.d weight_high
QoS profile assignment scheme	VoIP → Platinum. Corporate data → Silver. Guest → Bronze. Protects voice even under congestion. <br><br><span style="color:#888">2.9.d.5 · weight: high</span>	ccna domain2 topic2.9 subtopic2.9.d weight_high
Client Exclusion	Auto-block client after N failed auth attempts. Prevents brute-force against PSK. Configurable timeout. <br><br><span style="color:#888">2.9.e.1 · weight: med</span>	ccna domain2 topic2.9 subtopic2.9.e weight_med
P2P Blocking (client isolation)	Prevents wireless clients on same WLAN from communicating directly. Best practice for guest networks. <br><br><span style="color:#888">2.9.e.2 · weight: high</span>	ccna domain2 topic2.9 subtopic2.9.e weight_high
Session Timeout	Forces client to re-authenticate after a set time (e.g., 8h). Useful for guest day passes and key refresh. <br><br><span style="color:#888">2.9.e.3 · weight: med</span>	ccna domain2 topic2.9 subtopic2.9.e weight_med
DTIM Period	Delivery Traffic Indication Message interval. Controls multicast/broadcast delivery to sleeping clients. <br><br><span style="color:#888">2.9.e.4 · weight: low</span>	ccna domain2 topic2.9 subtopic2.9.e weight_low
Code C (Connected)	Route for a directly-attached network. Added automatically when interface comes up. AD 0. <br><br><span style="color:#888">3.1.a.1 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.a weight_high
Code L (Local)	/32 host route for the router's own interface IP. Auto-generated. Ensures local processing. <br><br><span style="color:#888">3.1.a.2 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.a weight_high
Code S (Static)	Manually configured route. AD 1 by default. <br><br><span style="color:#888">3.1.a.3 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.a weight_high
Code O (OSPF)	Learned via OSPF. AD 110. Additional subtypes: O IA (inter-area), O E1/E2 (external). <br><br><span style="color:#888">3.1.a.4 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.a weight_high
Code D (EIGRP)	Learned via EIGRP's DUAL algorithm. AD 90 (internal), 170 (external). <br><br><span style="color:#888">3.1.a.5 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.a weight_high
Code R (RIP)	Learned via RIP. AD 120. Hop-count metric. <br><br><span style="color:#888">3.1.a.6 · weight: med</span>	ccna domain3 topic3.1 subtopic3.1.a weight_med
Code B (BGP)	Learned via BGP. eBGP AD 20, iBGP AD 200. <br><br><span style="color:#888">3.1.a.7 · weight: med</span>	ccna domain3 topic3.1 subtopic3.1.a weight_med
S* candidate default	Static default route. Appears as 'Gateway of last resort' in show ip route. <br><br><span style="color:#888">3.1.a.8 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.a weight_high
Route entry format	'O 10.1.1.0/24 [110/20] via 192.168.1.2' — code, network/mask, [AD/metric], next-hop. <br><br><span style="color:#888">3.1.a.9 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.a weight_high
Prefix (network address)	Network portion of the route entry. All host bits zeroed. Defines which addresses the route covers. <br><br><span style="color:#888">3.1.b.1 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.b weight_high
Prefix length impact	/8 covers 16M addresses, /24 covers 256, /32 covers 1. More specific prefix = fewer addresses. <br><br><span style="color:#888">3.1.b.2 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.b weight_high
Prefix matching	Router compares destination IP's first N bits against prefix, where N = prefix length. <br><br><span style="color:#888">3.1.b.3 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.b weight_high
Parent network grouping	IOS displays subnets under their parent network (e.g., all 10.x.x.x /24s under 10.0.0.0/8). Cosmetic only. <br><br><span style="color:#888">3.1.b.4 · weight: low</span>	ccna domain3 topic3.1 subtopic3.1.b weight_low
Prefix length (CIDR)	Displayed as /N. Counts the 1-bits in the mask. /24 = 24 network bits. <br><br><span style="color:#888">3.1.c.1 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.c weight_high
Mask specificity = match	Longer mask = more specific = wins longest prefix match. /28 > /24 > /16. <br><br><span style="color:#888">3.1.c.2 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.c weight_high
Magic number method	Block size = 256 − interesting octet value. Subnets start at multiples of block size. <br><br><span style="color:#888">3.1.c.3 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.c weight_high
/30 for P2P links	4 addresses, 2 usable. Standard for router-to-router serial/point-to-point. <br><br><span style="color:#888">3.1.c.4 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.c weight_high
Next-hop IP	IP of the next router on the path. Must be on a directly-connected subnet (reachable via ARP). <br><br><span style="color:#888">3.1.d.1 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.d weight_high
C / L have no next hop	Directly-connected and local routes don't need a next hop — destination reachable directly via ARP. <br><br><span style="color:#888">3.1.d.2 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.d weight_high
Recursive lookup	Router looks up the next-hop IP in the routing table to find the exit interface. <br><br><span style="color:#888">3.1.d.3 · weight: med</span>	ccna domain3 topic3.1 subtopic3.1.d weight_med
Exit interface only	Static route with only an exit interface. Fine on P2P. AVOID on Ethernet — causes excessive ARP. <br><br><span style="color:#888">3.1.d.4 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.d weight_high
Administrative Distance (AD)	0-255 trust score per route source. Lower = more trusted. Tiebreaker between different protocols. <br><br><span style="color:#888">3.1.e.1 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.e weight_high
Connected AD = 0	Max trust. Router physically sees the network. Best possible AD. <br><br><span style="color:#888">3.1.e.2 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.e weight_high
Static AD = 1	Explicitly configured by admin. Highly trusted. <br><br><span style="color:#888">3.1.e.3 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.e weight_high
eBGP AD = 20	External BGP routes. Trusted partners across AS boundaries. <br><br><span style="color:#888">3.1.e.4 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.e weight_high
EIGRP AD = 90 (internal)	Cisco's IGP. Considered more reliable than OSPF. <br><br><span style="color:#888">3.1.e.5 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.e weight_high
OSPF AD = 110	All OSPF types (intra-area, inter-area, external) use 110. <br><br><span style="color:#888">3.1.e.6 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.e weight_high
RIP AD = 120	Highest AD among common IGPs. Least trusted of the common dynamic protocols. <br><br><span style="color:#888">3.1.e.7 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.e weight_high
EIGRP external AD = 170	EIGRP routes redistributed from another protocol. Lower trust than internal. <br><br><span style="color:#888">3.1.e.8 · weight: med</span>	ccna domain3 topic3.1 subtopic3.1.e weight_med
iBGP AD = 200	Internal BGP routes. Lower trust than most IGPs because iBGP routes may traverse many hops. <br><br><span style="color:#888">3.1.e.9 · weight: med</span>	ccna domain3 topic3.1 subtopic3.1.e weight_med
AD = 255 (unusable)	Route is NEVER installed. Effectively disables the route. <br><br><span style="color:#888">3.1.e.10 · weight: med</span>	ccna domain3 topic3.1 subtopic3.1.e weight_med
Metric purpose	Second number in [AD/metric]. Used to compare routes WITHIN THE SAME protocol. <br><br><span style="color:#888">3.1.f.1 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.f weight_high
OSPF cost	Reference bandwidth / interface bandwidth. Default reference = 100 Mbps. Lower = preferred. <br><br><span style="color:#888">3.1.f.2 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.f weight_high
RIP hop count	Number of routers to destination. Max 15. 16 = unreachable (infinity). <br><br><span style="color:#888">3.1.f.3 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.f weight_high
EIGRP composite metric	By default uses bandwidth + delay. Load and reliability optional. <br><br><span style="color:#888">3.1.f.4 · weight: med</span>	ccna domain3 topic3.1 subtopic3.1.f weight_med
ECMP load balancing	Equal-Cost Multi-Path. Tied metrics → all paths installed. Default 4 paths. Max 32. <br><br><span style="color:#888">3.1.f.5 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.f weight_high
Gateway of last resort	Default route (0.0.0.0/0). Used when no more specific route exists. Appears at top of show ip route. <br><br><span style="color:#888">3.1.g.1 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.g weight_high
ip route 0.0.0.0 0.0.0.0 ...	Static default route command. Typical pointing to ISP/upstream router. <br><br><span style="color:#888">3.1.g.2 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.g weight_high
default-information originate	OSPF/RIP command that injects a default route to all neighbors. On the edge router. <br><br><span style="color:#888">3.1.g.3 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.g weight_high
'Gateway of last resort is not set'	Troubleshooting red flag. No default = unknown destinations dropped. <br><br><span style="color:#888">3.1.g.4 · weight: high</span>	ccna domain3 topic3.1 subtopic3.1.g weight_high
O*E2 0.0.0.0/0	OSPF external type 2 candidate default. Appears when default learned via OSPF. <br><br><span style="color:#888">3.1.g.5 · weight: med</span>	ccna domain3 topic3.1 subtopic3.1.g weight_med
Longest Prefix Match (LPM)	Router picks the route with the LONGEST matching mask. Most specific wins. Step 1 of forwarding decision. <br><br><span style="color:#888">3.2.a.1 · weight: high</span>	ccna domain3 topic3.2 subtopic3.2.a weight_high
LPM beats AD	LPM ALWAYS wins before AD is consulted. A /32 from RIP (AD 120) beats a /24 from connected (AD 0). <br><br><span style="color:#888">3.2.a.2 · weight: high</span>	ccna domain3 topic3.2 subtopic3.2.a weight_high
/32 most specific	Host route. Matches exactly one IP. Always wins LPM. <br><br><span style="color:#888">3.2.a.3 · weight: high</span>	ccna domain3 topic3.2 subtopic3.2.a weight_high
0.0.0.0/0 least specific	Default route. Loses to everything more specific. True last resort. <br><br><span style="color:#888">3.2.a.4 · weight: high</span>	ccna domain3 topic3.2 subtopic3.2.a weight_high
show ip route [destination]	Shows which route the router actually uses for a specific IP. Best way to verify LPM. <br><br><span style="color:#888">3.2.a.5 · weight: high</span>	ccna domain3 topic3.2 subtopic3.2.a weight_high
AD as tiebreaker	Used when routes have SAME prefix length but DIFFERENT protocols. Lower AD wins. <br><br><span style="color:#888">3.2.b.1 · weight: high</span>	ccna domain3 topic3.2 subtopic3.2.b weight_high
